applicant_id,income_stability,utility_history,cashflow_stability,affordability,mobile_tenure,balance_buffer,device_trust,identity_match,access_behavior,location_stability,loan_scale,repayment_target,evaluation_group
SYN-05562,0.39219,0.84130,0.75822,0.53071,0.46158,0.15871,0.73918,0.76586,0.54226,1.00000,0.85422,1,A
SYN-07364,0.72328,0.88211,0.61872,0.56490,1.00000,0.21733,0.75393,0.51715,0.94235,1.00000,0.74169,0,A
SYN-02344,0.28969,1.00000,0.75856,0.75551,0.29990,0.08865,0.31750,0.90098,0.71007,1.00000,0.59678,0,A
SYN-04713,0.30715,1.00000,0.59828,0.66202,0.13859,0.15903,0.78239,0.89017,0.90930,0.83957,0.40822,0,B
SYN-02338,0.13260,0.82733,0.62952,0.46015,0.45050,0.29365,0.77089,1.00000,0.94906,1.00000,0.52926,1,A
SYN-07621,0.34833,0.95688,0.84185,0.73271,0.71648,1.00000,0.61942,1.00000,1.00000,0.66713,0.61225,0,B
SYN-04534,0.69037,0.95907,0.76602,0.52473,0.46052,0.53772,0.83082,0.40613,1.00000,0.56654,0.18070,0,A
SYN-01383,0.54371,1.00000,0.69611,0.87254,0.34151,0.12124,0.83152,1.00000,0.73354,0.67521,0.99285,1,B
SYN-06782,0.39309,0.74438,0.74899,0.75353,0.48997,0.59716,0.80529,0.77865,0.62996,0.87741,0.82505,0,B
SYN-01898,0.93385,0.61055,0.68919,0.65567,0.11788,0.49396,0.38636,1.00000,0.93334,0.81662,0.66427,0,B
SYN-04965,0.29251,0.89402,0.78465,0.63079,0.74854,0.02765,0.73148,0.76422,0.73777,0.81596,0.49214,0,A
SYN-00277,0.20541,0.81390,0.10290,0.56833,0.19073,0.29691,0.73166,0.75350,0.81700,0.82256,0.64735,0,A
SYN-04868,0.32533,0.93045,0.70596,0.78799,0.27099,0.21136,0.88198,0.80732,0.85093,0.83757,0.73186,1,A
SYN-05967,0.84784,0.81288,0.71794,0.57473,0.50084,0.20892,0.69190,0.55991,0.67494,0.61717,0.29682,0,B
SYN-00797,0.62436,0.76092,0.84511,0.39909,0.73477,0.54726,0.76298,0.75856,0.53593,1.00000,0.53391,0,A
SYN-04864,0.88427,0.84541,0.63749,0.71650,0.61417,0.38471,0.96323,0.57800,1.00000,0.99000,0.66697,0,B
SYN-00703,0.06644,0.80124,0.92734,0.64660,0.45525,0.58772,0.64311,1.00000,0.77465,0.54795,0.64641,0,B
SYN-01116,0.13913,0.55352,0.49798,0.75342,0.20424,0.87740,0.81869,0.80309,0.90897,0.81654,0.67204,0,B
SYN-01152,0.39057,1.00000,0.51162,0.61637,0.03279,0.26907,1.00000,0.92346,0.76718,0.37984,0.48444,0,A
SYN-02335,0.27699,0.83040,0.55062,0.65812,0.29122,0.42235,0.89500,0.89358,0.77606,1.00000,0.47095,0,A
SYN-05377,0.94922,0.83531,0.41535,0.00000,0.16442,0.22419,0.98828,1.00000,0.96276,0.85710,0.64995,0,A
SYN-00665,0.68876,0.76196,0.64426,0.76406,0.73566,0.14689,0.77820,0.96778,0.98144,0.85851,0.91534,0,B
SYN-01281,0.28641,0.78449,0.36173,0.60871,0.18398,0.73760,0.74700,1.00000,1.00000,0.62145,0.86651,0,B
SYN-01297,1.00000,0.64006,0.39202,0.53507,0.04034,0.65823,1.00000,0.70543,0.69971,0.56589,1.00000,0,A
SYN-03419,0.25789,1.00000,0.73512,0.66822,0.56350,0.45386,0.98220,1.00000,0.75765,0.90913,0.79009,0,A
SYN-03838,0.46560,0.87139,0.94311,0.29852,0.40845,0.72225,0.95827,0.80023,0.80256,0.78830,0.75722,0,B
SYN-00156,1.00000,0.77871,0.73819,1.00000,0.41949,0.16069,0.91431,0.88513,0.81136,0.52286,0.94108,1,A
SYN-00852,0.62943,0.76882,0.68594,0.58656,0.37434,0.13063,0.90107,0.66515,0.76187,0.65483,0.86733,0,A
SYN-05830,0.78753,0.89277,0.10200,0.44841,0.38982,0.57624,1.00000,0.68517,0.61943,0.61317,0.95878,0,A
SYN-03214,0.22366,0.81953,0.54365,0.56383,0.16103,0.57157,0.56171,0.90819,0.52149,0.90515,1.00000,0,B
SYN-00279,0.46059,1.00000,0.57746,0.79508,0.26145,0.12692,0.99433,0.84054,0.55570,0.71081,0.59780,0,A
SYN-01014,0.18497,0.70133,1.00000,0.49524,0.44375,0.59902,0.85092,1.00000,0.59315,0.67806,0.48242,0,A
SYN-06145,1.00000,0.88644,0.59404,0.43769,0.72145,0.11228,0.48880,0.56151,0.97784,0.82488,0.96830,0,A
SYN-03775,0.27605,0.80768,0.47717,0.64282,0.28106,0.22467,0.44203,0.58498,1.00000,0.95113,0.49171,0,B
SYN-06207,0.09166,0.82853,0.48593,0.29981,0.15981,0.41046,0.60150,0.67846,0.96961,0.73941,0.97719,0,B
SYN-04614,0.38189,0.54796,0.66372,0.42245,0.57427,0.39406,0.89030,0.65422,1.00000,0.84845,0.59831,0,B
SYN-07938,1.00000,0.82348,0.77539,0.16502,0.27636,0.95814,0.79561,0.83160,0.68341,0.75882,0.22169,0,A
SYN-07512,1.00000,0.84311,0.49625,0.76961,1.00000,0.37091,0.48859,0.77276,0.79758,1.00000,0.45679,0,A
SYN-04172,0.68650,0.82628,0.41000,0.33117,0.42252,0.26462,0.68225,0.79453,0.39403,0.34946,0.37135,0,B
SYN-07914,0.37689,0.91188,0.58443,0.22228,0.18454,0.59909,0.62395,0.85032,0.77820,0.83815,0.50320,0,A
SYN-04387,0.44108,0.68061,0.45155,0.08106,0.52197,0.17317,0.53662,0.81212,0.71841,0.66825,0.80543,0,B
SYN-02195,0.46483,0.91761,0.54542,0.83964,0.43195,0.02838,0.72297,0.71275,0.90556,1.00000,0.24064,0,A
SYN-05022,0.73134,0.73194,0.16706,0.67229,0.87443,0.40113,0.80412,0.82766,0.78804,0.72833,0.05669,0,B
SYN-02715,0.10310,0.88608,0.55489,0.47793,0.57661,0.30542,0.87094,0.91946,0.62317,0.93547,0.66549,0,B
SYN-06655,0.78201,0.60289,0.84761,0.13367,0.57832,0.70158,0.81764,0.88946,0.81226,0.39584,0.68707,0,A
SYN-02551,0.37356,0.70825,0.47556,0.61672,0.11552,0.21005,0.80808,0.95561,0.50783,0.99347,0.75831,0,A
SYN-07234,0.61424,0.97553,0.76210,0.40184,0.24309,0.43977,0.86417,0.78226,0.65434,0.71367,0.47214,0,A
SYN-07400,0.52492,0.75070,1.00000,0.71893,0.94877,0.31363,0.45451,0.74459,0.96016,0.98208,0.37930,1,B
SYN-02579,0.79166,0.83357,0.33480,0.39189,0.14056,1.00000,0.78431,0.79083,0.86839,0.95491,0.46144,0,A
SYN-03778,0.50438,0.92720,0.58133,0.55973,0.38679,0.19023,0.64819,0.82369,0.66677,0.94799,0.45458,0,A
SYN-02987,0.99464,0.90054,0.79310,0.68950,0.13959,0.19291,0.52209,0.79595,0.63117,0.72619,0.82669,0,B
SYN-01903,0.31837,0.88059,0.32797,0.72585,0.50503,0.37617,0.98052,0.86753,0.82082,0.87859,0.56564,0,B
SYN-00398,0.11773,0.79992,0.85512,0.49540,0.28337,0.17139,0.90312,0.87152,0.82991,1.00000,0.64874,0,A
SYN-05168,0.17274,0.95095,0.57467,0.73562,0.46967,0.10550,0.97935,0.70102,0.92458,0.53971,0.42450,0,A
SYN-07722,0.89691,0.92528,0.70806,0.39916,0.40349,0.96602,0.68807,0.69419,0.77685,0.77421,0.53603,0,A
SYN-03029,0.12744,1.00000,0.37681,0.54469,0.01826,0.16287,0.82193,1.00000,0.50582,0.74413,1.00000,0,B
SYN-00680,1.00000,0.81726,0.65024,0.73056,0.56653,0.05610,0.68251,0.84098,0.73115,0.85287,0.92306,0,A
SYN-04027,1.00000,0.87866,0.72853,0.35927,0.31108,0.23366,0.90515,0.92089,0.72234,0.82524,0.50832,0,B
SYN-02308,0.31244,1.00000,0.73205,0.09026,0.22333,0.15797,0.95151,0.56989,0.64110,0.75725,0.65195,0,B
SYN-05462,1.00000,0.89003,0.91452,0.31665,0.25069,0.22892,0.73678,0.97550,0.95879,0.81456,0.66359,1,B
SYN-07447,0.81925,0.69745,0.45229,0.79564,0.64626,0.16512,0.65863,1.00000,0.61762,0.84948,0.37886,0,B
SYN-00869,0.13547,0.76078,0.38327,0.52976,1.00000,0.05344,0.84199,0.67113,0.83031,0.79376,1.00000,0,B
SYN-02859,0.29294,0.74609,0.53956,0.79347,0.98409,0.95579,1.00000,0.80511,0.83495,0.76905,0.72215,0,B
SYN-01181,0.36825,1.00000,0.49299,0.56140,0.35444,0.77629,0.62778,0.89178,0.66934,1.00000,0.65872,0,A
SYN-06830,0.85734,0.92571,0.63880,0.59274,0.14045,0.01687,1.00000,1.00000,0.84358,0.49228,0.97282,0,A
SYN-02544,0.45059,0.80102,0.49916,0.64063,0.39580,0.25937,0.78247,0.87888,0.90825,0.60579,0.48367,0,B
SYN-07582,1.00000,0.80341,0.55352,0.73989,1.00000,0.19293,0.51508,0.72807,0.51983,1.00000,1.00000,1,B
SYN-03980,0.57497,0.73532,0.91511,0.67382,0.39970,0.26093,0.80026,0.89507,1.00000,0.55913,0.66681,0,B
SYN-00547,0.35357,0.84192,0.35752,0.57256,0.29354,0.09017,0.86251,0.90843,1.00000,0.79858,0.58365,0,A
SYN-07959,0.17407,1.00000,0.20733,0.90714,0.40946,0.08458,1.00000,0.78188,0.94703,0.97623,0.64003,0,B
SYN-03459,0.46952,0.81223,0.93985,0.31440,0.04120,0.06409,0.84921,0.66598,0.94989,0.40484,0.56588,0,A
SYN-01455,0.92618,0.58574,0.52503,0.33342,0.66596,0.23579,0.62054,1.00000,0.32400,0.94978,0.38257,0,B
SYN-00466,0.83042,0.93458,0.63791,0.55920,0.08209,0.32872,1.00000,0.87712,1.00000,0.79916,0.20429,0,A
SYN-06626,1.00000,0.81577,0.45706,0.59520,0.30405,0.30314,0.82428,0.97332,0.78003,0.55139,0.66688,1,B
SYN-04955,0.84805,0.74875,0.39709,0.11510,0.50391,0.73191,0.57399,0.67514,0.54227,0.73475,0.82226,0,B
SYN-03892,0.24558,0.79139,0.71047,0.60631,1.00000,0.28482,0.75677,1.00000,1.00000,0.77113,0.69474,0,B
SYN-07610,1.00000,0.83161,0.60793,0.85775,0.61315,0.69874,1.00000,0.79535,1.00000,0.47107,0.42747,0,B
SYN-04372,0.78113,0.98615,0.53392,0.82473,0.75049,0.19698,0.60568,0.87859,0.87543,0.71517,0.85486,1,A
SYN-05932,0.16438,0.64884,0.74996,0.51417,0.62274,0.06169,0.83447,0.71162,0.71468,0.50007,0.66397,0,A
SYN-05691,0.37903,0.89195,0.97458,0.65052,1.00000,0.30339,0.85050,0.98468,0.95866,0.68409,0.84627,0,A
SYN-06337,0.48240,0.94401,0.71336,0.81725,0.55227,0.58095,0.84688,0.88961,0.32041,0.69414,0.49306,0,B
SYN-03720,0.18197,0.95537,0.32133,0.91598,0.33310,0.31313,0.90791,0.77843,0.80707,0.73288,0.96753,0,B
SYN-06808,0.19523,0.84109,0.33851,0.61576,0.99079,0.71696,0.69734,0.87952,0.89325,1.00000,0.85725,0,A
SYN-01061,0.23707,0.87921,0.60012,0.63079,0.12129,0.27713,0.77680,0.90813,0.78505,0.47447,0.61047,0,A
SYN-05687,0.46028,0.87889,0.70300,0.72317,0.23290,0.08598,0.95801,0.76154,0.90404,1.00000,0.50989,0,B
SYN-00730,1.00000,0.93258,0.42530,0.72080,0.15920,0.09550,0.78291,0.64498,0.82204,0.78425,0.47338,0,A
SYN-01906,0.21820,0.77463,0.82449,0.50609,0.28238,0.06966,0.78566,0.88048,0.45561,0.87750,1.00000,0,B
SYN-03589,0.15618,0.86936,0.54721,0.53679,0.22360,0.40639,0.64699,0.91107,0.87085,0.74462,0.36348,0,A
SYN-03014,0.94640,0.85342,0.16377,0.33782,0.95059,0.94479,0.52689,0.82261,0.71529,0.73513,0.33745,1,A
SYN-01744,0.64811,0.82495,1.00000,0.40038,1.00000,0.34541,0.74201,0.87686,0.86033,0.90517,0.42586,1,A
SYN-04113,0.76498,0.92017,0.54754,0.36034,0.22700,0.10210,0.69015,1.00000,0.72655,1.00000,0.97926,0,A
SYN-07930,0.22006,0.70223,0.83428,0.22602,0.55914,0.35751,0.50139,0.79935,0.91074,0.76941,0.45486,0,B
SYN-06767,0.25147,0.72645,0.28280,0.49702,0.28450,0.13277,0.53706,0.99858,0.78343,0.59152,0.39446,0,A
SYN-06858,0.66754,0.82860,0.52772,0.56666,0.43334,0.63699,0.82529,0.81388,0.84534,0.98649,0.82640,1,A
SYN-07984,1.00000,0.58073,0.19680,0.50577,0.79688,0.53570,1.00000,0.78911,0.74420,0.79800,1.00000,0,B
SYN-04993,0.30938,0.66699,0.40943,0.85382,0.47537,0.32028,0.83864,0.79180,0.87986,1.00000,0.35388,0,A
SYN-05910,0.63607,0.89347,0.63857,0.45545,0.66604,0.37524,0.71655,0.80203,0.72485,1.00000,0.76876,1,A
SYN-06486,0.62701,0.77437,0.57794,0.39103,0.16492,0.40986,0.69785,1.00000,0.57847,0.90800,0.25142,0,B
SYN-05341,0.35303,0.83754,0.46574,0.53749,0.55545,0.54257,0.40243,1.00000,0.60619,1.00000,0.60356,0,A
SYN-00924,0.41762,0.78544,0.61233,0.45744,0.61663,0.63487,0.91779,0.81265,0.76914,1.00000,0.35950,0,A
SYN-05467,0.81238,0.82198,0.81421,0.62591,0.24099,0.12698,1.00000,0.68169,0.51576,0.58107,0.68990,1,B
SYN-01333,0.39455,0.77910,0.77435,0.31104,0.15927,0.29254,0.63474,0.96224,0.86534,0.79937,0.82934,0,A
SYN-02561,0.77647,0.78787,0.49038,0.54021,0.20100,0.12161,0.90127,0.98832,0.81437,0.88801,0.51851,0,A
SYN-07025,0.72010,0.98434,0.51913,0.46885,0.09611,0.23349,0.87065,0.89845,0.71446,0.40463,0.71757,0,B
SYN-06099,0.06250,0.77999,0.93365,0.35773,0.29064,0.14322,0.45328,0.64223,0.82154,0.76913,0.56403,0,B
SYN-00224,0.47144,1.00000,0.26631,0.71659,0.16656,0.20200,0.69107,0.63420,0.75164,0.49340,0.63966,0,A
SYN-04707,0.20799,0.86911,0.67709,0.69783,0.43516,1.00000,0.64307,1.00000,0.75294,0.60235,0.47813,0,A
SYN-06862,1.00000,0.67567,0.82399,0.77266,0.71041,0.25583,1.00000,0.89422,0.95249,0.67632,0.88788,1,B
SYN-00641,0.77206,0.99072,0.73900,0.57187,0.66510,0.68857,0.94239,0.81340,0.61707,1.00000,0.76390,1,A
SYN-04193,0.74047,0.68457,0.42891,0.45101,1.00000,0.09294,1.00000,0.74360,0.81419,0.64918,0.74231,0,A
SYN-04165,0.23824,0.92551,0.90798,0.78429,0.34033,0.66494,0.78351,0.82215,0.84873,1.00000,1.00000,1,A
SYN-05079,0.71101,0.78888,0.65570,0.50668,0.92820,0.22585,0.66090,0.63954,0.22467,0.52764,0.45111,0,B
SYN-05454,0.99647,0.86104,0.78631,0.42040,0.05730,0.40461,0.63935,1.00000,0.79275,0.82690,0.67729,1,B
SYN-05160,0.35995,0.90537,0.71241,0.47537,0.23613,0.61596,0.42862,0.75845,0.89096,0.83170,0.64508,0,B
SYN-01452,1.00000,0.84636,0.79257,0.49087,0.53178,0.33664,0.67599,0.81501,0.42619,0.76231,0.42896,0,A
SYN-01960,0.98505,0.78483,0.84750,0.75902,0.48291,0.23817,0.77749,0.89546,0.87105,0.66068,1.00000,1,A
SYN-00903,0.25511,0.66145,0.52237,0.87917,0.46794,0.28498,0.90407,0.82813,1.00000,1.00000,0.78130,0,B
SYN-05745,0.57223,0.69757,0.86311,0.63031,0.25922,0.50708,0.88221,0.95555,0.61153,0.63861,0.60007,0,B
SYN-06789,0.23876,0.75903,0.87198,0.28130,0.48237,0.32104,0.59568,0.85675,1.00000,0.70419,0.51836,0,B
SYN-04152,0.57680,0.80286,0.66340,0.93409,0.25559,0.13115,0.74058,0.90657,0.62462,1.00000,0.61626,0,A
SYN-01497,0.87853,0.90501,0.78003,0.55089,0.20911,0.58792,0.63809,1.00000,0.92718,0.99280,0.27576,1,B
SYN-07162,1.00000,0.87853,0.67782,0.85357,0.74238,0.45485,0.75172,0.83751,0.84915,1.00000,0.79759,1,A
SYN-06007,0.52062,0.95087,0.52462,0.54141,0.45274,0.12376,0.50021,0.91525,0.66858,0.75908,0.51471,0,A
SYN-07186,0.43061,0.97649,0.51095,0.51010,0.52832,0.54780,0.92105,0.95518,0.91680,0.68610,0.58864,0,B
SYN-02636,0.18337,0.65563,0.47733,0.69355,0.33392,0.17525,0.79297,0.61542,0.75071,0.73721,0.99746,0,B
SYN-03866,0.75570,1.00000,0.49908,0.64319,0.20741,0.04708,0.60989,0.80800,0.98866,0.87172,0.36943,0,B
SYN-00658,0.16500,0.99524,0.80547,0.75858,0.06519,0.43622,1.00000,0.57269,0.86673,0.78981,0.61056,0,B
SYN-06168,0.81060,0.97325,0.49915,0.62741,0.37760,0.30966,0.87735,0.99139,0.67576,0.98276,0.52524,0,B
SYN-03165,0.95656,0.66140,0.30269,0.82483,0.34855,0.27543,0.45891,1.00000,0.70624,0.97813,0.61113,0,A
SYN-03631,0.20925,1.00000,0.71406,0.81574,0.07623,1.00000,1.00000,0.90949,0.78920,1.00000,0.84662,0,B
SYN-03689,0.32551,0.84315,0.67562,0.63238,0.52571,0.01991,0.76666,0.84635,0.49182,0.78097,0.62715,0,B
SYN-06441,0.82657,0.89571,0.62832,0.91559,0.47133,0.56413,0.85756,0.79389,1.00000,0.51428,0.37852,1,B
SYN-01667,0.61030,0.96579,0.37264,0.67026,0.07858,0.30080,1.00000,1.00000,0.71183,0.83315,0.77775,0,B
SYN-02311,0.33415,0.84044,0.67119,1.00000,1.00000,0.06394,0.97226,0.85938,0.93796,0.73596,0.49305,0,B
SYN-04834,0.73130,0.88152,0.44960,0.43597,0.37419,0.62630,0.77158,0.90409,0.86892,0.79988,0.70485,0,A
SYN-07631,0.47935,0.83479,0.56349,0.60193,0.72872,0.22091,0.58550,0.84387,0.94752,0.57307,0.80200,1,B
SYN-03624,0.63962,0.86109,0.63639,0.72106,0.52799,0.49715,0.73653,0.72094,0.88519,0.65858,0.96148,1,B
SYN-00236,0.43646,0.57696,0.45237,0.96738,1.00000,0.03599,0.99875,0.69883,0.84257,0.77553,0.74056,0,B
SYN-00111,0.34500,0.99935,0.81112,0.78544,0.89226,1.00000,1.00000,0.78973,0.82361,0.80641,0.58726,1,B
SYN-01069,0.92134,0.89910,0.54436,0.49921,0.24899,0.44072,0.78565,0.89870,0.50618,0.63883,0.69008,0,A
SYN-00562,0.27476,0.80739,0.57644,0.43032,0.67104,0.66544,0.91143,0.81856,0.62819,0.94699,0.72663,0,A
SYN-01704,0.43571,0.83843,0.58686,0.83961,0.60698,0.73434,0.96863,0.86661,1.00000,0.53711,0.61258,0,A
SYN-06112,1.00000,0.85913,0.49772,0.42492,0.46825,0.59767,0.84351,1.00000,0.62631,0.62009,0.83827,0,B
SYN-06600,0.55195,0.96192,0.46133,0.41433,0.39041,0.40754,0.74825,0.88020,0.90126,0.66038,0.73549,0,A
SYN-01878,0.44234,0.92734,0.64838,0.65217,0.22979,0.09397,0.62399,0.83957,0.64338,0.87884,0.35603,1,B
SYN-03620,0.44503,0.93514,0.65442,0.60208,0.24475,0.02199,0.69250,0.82303,0.67907,1.00000,0.86235,0,A
SYN-04717,0.77968,0.79329,0.48608,0.42627,0.21252,0.33660,0.63038,0.89974,0.90691,0.57046,0.83615,0,A
